0,0.1
0.1,0.1
0.2,0.0890767
0.3,0.0717197
0.4,0.0492405
0.5,0.0233003
0.6,-0.00424376
0.7,-0.0315032
0.8,-0.0567151
0.9,-0.0783736
1,-0.0953239
1.1,-0.106814
1.2,-0.112502
1.3,-0.112428
1.4,-0.106959
1.5,-0.0967088
1.6,-0.082461
1.7,-0.0650826
1.8,-0.0454528
1.9,-0.0244019
2,-0.00266757
2.1,0.019133
2.2,0.0405159
2.3,0.0611295
2.4,0.0807445
2.5,0.099236
2.6,0.116562
2.7,0.132741
2.8,0.147827
2.9,0.161887
3,0.174981
3.1,0.187146
3.2,0.198375
3.3,0.208608
3.4,0.217717
3.5,0.225502
3.6,0.231686
3.7,0.235915
3.8,0.237769
3.9,0.236772
4,0.232415
4.1,0.224195
4.2,0.211649
4.3,0.194413
4.4,0.172274
4.5,0.145241
4.6,0.113601
4.7,0.077972
4.8,0.0393382
4.9,-0.000946431
5,-0.0411881
5.1,-0.0794268
5.2,-0.113551
5.3,-0.141452
5.4,-0.161197
5.5,-0.171219
5.6,-0.170491
5.7,-0.158672
5.8,-0.136206
5.9,-0.104357
6,-0.0651597
6.1,-0.0212977
6.2,0.0241069
6.3,0.0677546
6.4,0.10646
6.5,0.137434
6.6,0.158515
6.7,0.168341
6.8,0.166423
6.9,0.153147
7,0.129692
7.1,0.0978776
7.2,0.0599777
7.3,0.0185003
7.4,-0.0240296
7.5,-0.0652641
7.6,-0.103186
7.7,-0.136212
7.8,-0.163233
7.9,-0.183619
8,-0.197169
8.1,-0.204048
8.2,-0.204702
8.3,-0.199773
8.4,-0.190015
8.5,-0.176225
8.6,-0.159187
8.7,-0.139624
8.8,-0.118177
8.9,-0.0953822
9,-0.0716758
9.1,-0.0473949
9.2,-0.022793
9.3,0.00194243
9.4,0.0266676
9.5,0.0512592
9.6,0.0755896
9.7,0.0995032
9.8,0.122793
9.9,0.145181
10,0.1663
10.1,0.185685
10.2,0.202771
10.3,0.216893
10.4,0.227311
10.5,0.233238
10.6,0.233888
10.7,0.228536
10.8,0.216593
10.9,0.197688
11,0.17176
11.1,0.139141
11.2,0.100621
11.3,0.0574909
11.4,0.0115339
11.5,-0.0350272
11.6,-0.0796471
11.7,-0.119627
11.8,-0.152324
11.9,-0.175387
12,-0.186982
12.1,-0.185993
12.2,-0.172177
12.3,-0.14624
12.4,-0.10984
12.5,-0.0654894
12.6,-0.0163665
12.7,0.0339507
12.8,0.0818004
12.9,0.123761
13,0.156941
13.1,0.179203
13.2,0.189296
13.3,0.186895
13.4,0.172555
13.5,0.147594
13.6,0.113924
13.7,0.0738421
13.8,0.0298212
13.9,-0.0156979
14,-0.0604794
14.1,-0.102623
14.2,-0.140641
14.3,-0.173492
14.4,-0.200562
14.5,-0.221623
14.6,-0.236763
14.7,-0.246316
14.8,-0.250783
14.9,-0.250764
15,-0.246897
15.1,-0.239812
15.2,-0.230091
15.3,-0.218251
15.4,-0.204725
15.5,-0.189856
15.6,-0.173906
15.7,-0.157056
15.8,-0.139425
15.9,-0.121078
16,-0.102052
16.1,-0.0823698
16.2,-0.0620641
16.3,-0.041198
16.4,-0.0198878
16.5,0.00167748
16.6,0.0232174
16.7,0.0443474
16.8,0.064573
16.9,0.0832926
17,0.0998136
17.1,0.113381
17.2,0.123219
17.3,0.128593
17.4,0.128873
17.5,0.123612
17.6,0.112623
